Thu Mar 18 18:26:01 2021    output.dat

         188712296 function calls (185104778 primitive calls) in 194.084 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   392413    0.235    0.000    0.235    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/dtypes.py:103(as_numpy_dtype)
    89056    0.233    0.000    0.961    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:1542(_name_and_control_scope)
    49214    0.231    0.000    0.725    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/trajectories/time_step.py:33(_as_float32_array)
    47972    0.230    0.000    3.373    0.000 /Users/marvin/FML2020/fml-project/agents.py:267(send_event)
467451/89044    0.230    0.000    3.847    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/_utils.py:63(wrap)
   465034    0.227    0.000    0.313    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/enum.py:313(__call__)
    10046    0.225    0.000   84.434    0.008 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/drivers/dynamic_step_driver.py:117(loop_body)
    32317    0.222    0.000    1.948    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:724(get_outer_rank)
23904/23900    0.222    0.000   49.646    0.002 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/def_function.py:820(__call__)
   111355    0.220    0.000    1.245    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/backend.py:4661(relu)
    89084    0.219    0.000    0.501    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:2524(_set_mask_metadata)
    22269    0.217    0.000    4.778    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/deterministic.py:48(__init__)
687611/687607    0.214    0.000    0.755    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:655(<genexpr>)
   200439    0.214    0.000    0.675    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:2562(_get_input_masks)
  1720949    0.213    0.000    0.213    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
   577503    0.212    0.000    0.212    0.000 {built-in method __new__ of type object at 0x10d375808}
   200439    0.211    0.000    0.414    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:3036(_split_out_first_arg)
  1132484    0.210    0.000    0.213    0.000 {method 'get' of 'dict' objects}
361807/232760    0.209    0.000    1.902    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/contextlib.py:108(__enter__)
    44987    0.208    0.000    1.622    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/training/tracking/base.py:859(_track_trackable)
    94687    0.207    0.000    0.318    0.000 /Users/marvin/FML2020/fml-project/environment.py:392(<listcomp>)
  1803513    0.205    0.000    0.205    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:249(value)
    22271    0.204    0.000    1.151    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:1606(_clear_losses)
    80415    0.204    0.000    2.314    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:852(_lazy_read)
   361807    0.201    0.000    0.620    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/contextlib.py:238(helper)
   818410    0.199    0.000    0.313    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:1230(as_shape)
    82540    0.198    0.000    0.920    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:925(merge_with)
386233/386231    0.198    0.000    3.550    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:166(constant)
    44552    0.197    0.000    1.074    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/module/module.py:112(__init__)
    22263    0.197    0.000    1.563    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:159(_set_sample_static_shape_for_tensor)
   136735    0.196    0.000    0.578    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/training/tracking/base.py:638(_maybe_initialize_trackable)
    23562    0.196    0.000    2.500    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/environments/tf_py_environment.py:42(_pack_named_sequence)
    10047    0.195    0.000    3.158    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/critical_section_ops.py:234(execute)
    18995    0.194    0.000    1.613    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/random_ops.py:208(random_uniform)
2005/2003    0.192    0.000   85.970    0.043 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/control_flow_ops.py:2503(while_loop)
   481509    0.192    0.000    0.192    0.000 {built-in method tensorflow.python._pywrap_utils.IsAttrs}
    23922    0.189    0.000    1.791    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/function.py:2147(_build_call_outputs)
   645859    0.189    0.000    0.268    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:3283(<genexpr>)
385732/385730    0.189    0.000    2.473    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:299(_constant_eager_impl)
   133626    0.187    0.000    0.349    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:2582(_call_arg_was_passed)
    70324    0.186    0.000    3.420    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/state_ops.py:255(scatter_update)
   481341    0.185    0.000    0.185    0.000 {built-in method tensorflow.python._pywrap_utils.IsMapping}
    10048    0.184    0.000    1.873    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/specs/tensor_spec.py:206(sample_bounded_spec)
   481341    0.183    0.000    0.183    0.000 {built-in method tensorflow.python._pywrap_utils.IsMappingView}
   584749    0.183    0.000    1.209    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:104(_is_namedtuple)
   155897    0.183    0.000    0.612    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:2433(_should_cast_single_input)
    74668    0.182    0.000    0.182    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/numpy/core/getlimits.py:498(__init__)
   200439    0.181    0.000    0.181    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/mixed_precision/autocast_variable.py:536(__init__)
   133626    0.181    0.000    3.007    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_nn_ops.py:646(bias_add)
89036/44518    0.181    0.000    0.643    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/ops.py:249(_default_convert_to_tensor_with_dtype)
    44534    0.181    0.000    0.789    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/dtype_util.py:81(common_dtype)
23816/23580    0.181    0.000   18.811    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/autograph/impl/api.py:618(wrapper)
   297816    0.181    0.000    0.245    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:1191(<listcomp>)
     1249    0.180    0.000    0.390    0.000 /Users/marvin/FML2020/fml-project/environment.py:306(new_round)
